epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,10579.1,1.3979,0.93638,1.22775,0.81007,0.66816,0.76366,0.47681,1.44247,0.87494,1.32778,0.0089704,0.0089704,0.0089704
106,10681.2,1.4087,0.93763,1.23168,0.81043,0.66735,0.7637,0.47713,1.44271,0.87467,1.32787,0.0089605,0.0089605,0.0089605
107,10782,1.4056,0.93704,1.22697,0.81101,0.66735,0.76341,0.47718,1.44257,0.87429,1.32789,0.0089506,0.0089506,0.0089506
108,10884.4,1.40871,0.93461,1.22766,0.81066,0.66775,0.76377,0.47717,1.44286,0.87398,1.32805,0.0089407,0.0089407,0.0089407
109,10986.9,1.40349,0.93166,1.22954,0.81095,0.66799,0.76381,0.4774,1.44241,0.87366,1.32746,0.0089308,0.0089308,0.0089308
110,11088.7,1.40712,0.93987,1.22962,0.80998,0.66799,0.76371,0.4772,1.44257,0.87375,1.32734,0.0089209,0.0089209,0.0089209
111,11188.2,1.40261,0.92792,1.22527,0.81007,0.66809,0.76386,0.47721,1.44233,0.87366,1.3274,0.008911,0.008911,0.008911
112,11288.8,1.39849,0.92991,1.22373,0.81035,0.66877,0.76415,0.47745,1.44218,0.87341,1.32752,0.0089011,0.0089011,0.0089011
113,11389.9,1.40889,0.93568,1.22816,0.8096,0.66928,0.76416,0.47732,1.44217,0.8731,1.32749,0.0088912,0.0088912,0.0088912
114,11491.5,1.39612,0.92545,1.22373,0.80935,0.66935,0.76427,0.47732,1.44171,0.87304,1.32749,0.0088813,0.0088813,0.0088813
115,11592.1,1.39262,0.92023,1.22722,0.80906,0.66969,0.76429,0.47751,1.44171,0.87295,1.32763,0.0088714,0.0088714,0.0088714
116,11693.8,1.40191,0.92872,1.2222,0.80906,0.67032,0.76446,0.47739,1.44141,0.87251,1.32738,0.0088615,0.0088615,0.0088615
117,11793.5,1.40243,0.92881,1.22543,0.80905,0.66993,0.76445,0.4775,1.44117,0.87243,1.32728,0.0088516,0.0088516,0.0088516
118,11895.1,1.39474,0.92398,1.22346,0.80882,0.66932,0.76436,0.47777,1.4411,0.87247,1.32715,0.0088417,0.0088417,0.0088417
119,11997.1,1.39414,0.92358,1.21744,0.80875,0.66942,0.7643,0.47747,1.44106,0.87223,1.32709,0.0088318,0.0088318,0.0088318
120,12098.4,1.39784,0.9258,1.22108,0.80925,0.66986,0.76457,0.47771,1.44074,0.87186,1.32704,0.0088219,0.0088219,0.0088219
121,12201.1,1.40118,0.92498,1.22219,0.80994,0.66969,0.76452,0.47782,1.44069,0.87184,1.32722,0.008812,0.008812,0.008812
122,12300.4,1.40609,0.93587,1.22435,0.80972,0.67037,0.76469,0.4779,1.44045,0.87169,1.32709,0.0088021,0.0088021,0.0088021
123,12403.6,1.40176,0.9281,1.22528,0.81128,0.66898,0.7646,0.47789,1.44027,0.8715,1.32715,0.0087922,0.0087922,0.0087922
124,12506.2,1.404,0.93008,1.22414,0.81057,0.66939,0.76447,0.47787,1.44061,0.87155,1.3275,0.0087823,0.0087823,0.0087823
125,12608.3,1.39631,0.92438,1.22291,0.81063,0.66952,0.76468,0.47771,1.44046,0.87128,1.32739,0.0087724,0.0087724,0.0087724
126,12708.4,1.39929,0.92638,1.22657,0.81164,0.66894,0.76449,0.47774,1.44007,0.87124,1.32756,0.0087625,0.0087625,0.0087625
127,12809.6,1.39167,0.92194,1.22248,0.81178,0.66898,0.7646,0.47791,1.44002,0.87098,1.32747,0.0087526,0.0087526,0.0087526
128,12911,1.3949,0.92592,1.22204,0.81049,0.67007,0.76481,0.47787,1.44014,0.87079,1.32741,0.0087427,0.0087427,0.0087427
129,13012.3,1.40098,0.92758,1.21986,0.81167,0.66952,0.76476,0.47812,1.43995,0.87067,1.32741,0.0087328,0.0087328,0.0087328
130,13111.2,1.39207,0.92011,1.21804,0.81265,0.6691,0.76489,0.47826,1.43996,0.87066,1.32751,0.0087229,0.0087229,0.0087229
131,13210.6,1.39482,0.92038,1.22006,0.81267,0.66898,0.7649,0.4782,1.43984,0.87027,1.32758,0.008713,0.008713,0.008713
132,13312.7,1.39094,0.91928,1.22051,0.81297,0.6689,0.76494,0.47829,1.43992,0.8701,1.3276,0.0087031,0.0087031,0.0087031
